episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
26,multi_level_coordinated_dqn,29,1034.8036,6.590248,0.5820,97.0508,-0.0256,0.3039,1.6239,0.0347,0.1904,0.0177,18.01,32.54,49.45
27,multi_level_coordinated_dqn,29,1032.0869,6.177421,0.5790,96.5059,-0.0263,0.3034,1.6201,0.0350,0.1930,0.0178,27.94,35.48,36.58
28,multi_level_coordinated_dqn,29,1084.5944,4.522348,0.5762,102.5259,-0.0338,0.2992,1.6176,0.0374,0.2040,0.0201,32.64,37.67,29.69
29,multi_level_coordinated_dqn,29,1033.5214,3.475274,0.5733,96.7083,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,17.65,54.41,27.94
30,multi_level_coordinated_dqn,29,1033.5214,5.370053,0.5704,95.9049,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,17.83,47.98,34.19
31,multi_level_coordinated_dqn,29,1033.4520,3.565028,0.5676,97.3686,-0.0257,0.3031,1.6224,0.0352,0.1948,0.0179,28.49,47.24,24.26
32,multi_level_coordinated_dqn,29,1033.5214,2.085111,0.5647,96.7443,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,16.54,67.28,16.18
33,multi_level_coordinated_dqn,29,1033.3662,3.110701,0.5619,97.1753,-0.0263,0.3031,1.6228,0.0351,0.1933,0.0179,37.32,39.34,23.35
34,multi_level_coordinated_dqn,29,1033.5214,5.766810,0.5591,95.5398,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,18.38,61.58,20.04
35,multi_level_coordinated_dqn,29,992.6625,5.748050,0.5563,96.3611,-0.0738,0.2909,1.6076,0.0428,0.2337,0.0220,37.50,34.38,28.12
36,multi_level_coordinated_dqn,29,1032.0869,4.027033,0.5535,97.1286,-0.0263,0.3034,1.6201,0.0350,0.1930,0.0178,21.51,53.68,24.82
37,multi_level_coordinated_dqn,29,1032.8682,7.132693,0.5507,97.7607,-0.0258,0.3027,1.6217,0.0354,0.1966,0.0180,25.74,41.36,32.90
38,multi_level_coordinated_dqn,29,1033.1928,1.056768,0.5480,97.9363,-0.0257,0.3028,1.6222,0.0353,0.1951,0.0179,18.75,46.88,34.38
39,multi_level_coordinated_dqn,29,1031.8446,3.264783,0.5452,96.1814,-0.0259,0.3021,1.6206,0.0359,0.1998,0.0181,20.40,32.54,47.06
40,multi_level_coordinated_dqn,29,990.4104,2.529589,0.5425,96.4921,-0.0908,0.2966,1.6149,0.0393,0.2142,0.0188,39.52,36.58,23.90
41,multi_level_coordinated_dqn,29,1034.4536,2.789779,0.5398,96.1700,-0.0262,0.3039,1.6239,0.0347,0.1904,0.0177,32.72,22.61,44.67
42,multi_level_coordinated_dqn,29,1032.1214,1.407824,0.5371,95.3312,-0.0281,0.3041,1.6213,0.0346,0.1897,0.0177,41.36,41.54,17.10
43,multi_level_coordinated_dqn,29,1033.4520,1.809930,0.5344,96.1745,-0.0257,0.3031,1.6224,0.0352,0.1948,0.0179,28.49,39.52,31.99
44,multi_level_coordinated_dqn,29,1032.1214,3.294133,0.5318,97.6371,-0.0281,0.3041,1.6213,0.0346,0.1897,0.0177,28.68,43.38,27.94
45,multi_level_coordinated_dqn,29,1017.4131,4.302855,0.5291,96.0548,-0.0455,0.2990,1.6167,0.0380,0.2096,0.0191,31.43,38.42,30.15
