episode,total_reward,steps,epsilon,loss_last
422,-1184.5000,45,0.1206,2402.624023
423,-1108.5000,45,0.1200,4859.210938
424,-1111.0000,45,0.1194,1354.662964
425,-1145.5000,46,0.1188,7808.717773
426,-1246.5000,53,0.1182,5531.083984
427,-1083.5000,45,0.1176,4894.640137
428,-1107.0000,45,0.1170,12073.545898
429,-1134.5000,45,0.1164,6632.829102
430,-1127.0000,45,0.1159,4295.649414
431,-1239.5000,45,0.1153,5879.833984
432,-1111.0000,45,0.1147,4722.777832
433,-1113.5000,45,0.1141,5771.534180
434,-1140.5000,45,0.1136,10460.323242
435,-1088.5000,45,0.1130,4937.171387
436,-1112.0000,45,0.1124,2986.846436
437,-1083.0000,45,0.1119,2620.037109
438,-1141.5000,45,0.1113,8385.586914
439,-1104.0000,45,0.1107,3391.494141
440,-1337.5000,45,0.1102,7536.950684
441,-1090.5000,45,0.1096,1069.879761
442,-1116.0000,45,0.1091,5450.426270
443,-1115.5000,45,0.1085,5202.715332
444,-1115.5000,45,0.1080,6140.569336
445,-1141.0000,45,0.1075,6323.564453
446,-1143.5000,45,0.1069,4491.676758
447,-1100.5000,45,0.1064,2660.831543
448,-1141.5000,45,0.1059,5931.249023
449,-1123.0000,45,0.1053,2865.180664
450,-1124.0000,45,0.1048,2094.951172
451,-1214.0000,45,0.1043,2701.540039
452,-1091.0000,45,0.1038,5833.041504
453,-1135.5000,45,0.1032,3136.495117
454,-1094.5000,45,0.1027,3952.894043
455,-1120.5000,46,0.1022,3077.988037
456,-1114.0000,45,0.1017,2957.074219
457,-1136.0000,45,0.1012,8036.519043
458,-1161.5000,48,0.1007,7050.040039
459,-1130.5000,45,0.1002,2910.158936
460,-1102.5000,45,0.0997,6502.796387
461,-1164.5000,45,0.0992,2155.535645
462,-1102.5000,45,0.0987,8516.083008
463,-1141.5000,45,0.0982,5003.888672
464,-1141.5000,45,0.0977,4940.219727
465,-1114.0000,45,0.0972,8521.188477
466,-1138.5000,45,0.0967,1898.384888
467,-1095.0000,45,0.0962,3852.861572
468,-1133.0000,45,0.0958,5658.267090
469,-1183.5000,45,0.0953,3684.375488
470,-1141.5000,45,0.0948,5015.434570
471,-1100.5000,45,0.0943,6430.797363
472,-1140.5000,45,0.0939,5358.731934
473,-1153.5000,45,0.0934,3491.264648
474,-1121.0000,45,0.0929,3712.944336
475,-1141.5000,45,0.0925,2930.905273
476,-1113.0000,45,0.0920,4112.406738
477,-1141.5000,45,0.0915,4388.516602
478,-1130.5000,45,0.0911,4354.383789
479,-1147.5000,46,0.0906,2874.862305
480,-1125.0000,45,0.0902,6820.915039
481,-1100.5000,45,0.0897,7758.468750
482,-1145.0000,45,0.0893,1691.158325
483,-1110.5000,45,0.0888,4776.791016
484,-1131.5000,45,0.0884,4662.740234
485,-1109.0000,45,0.0879,5833.963379
486,-1141.5000,45,0.0875,7630.371094
487,-1092.5000,45,0.0871,1933.343140
488,-1183.5000,45,0.0866,7318.385254
489,-1141.5000,45,0.0862,3680.294434
490,-1240.0000,45,0.0858,853.504028
491,-1102.5000,45,0.0853,9789.006836
492,-1343.5000,45,0.0849,783.583496
493,-1284.5000,45,0.0845,6287.653320
494,-1154.0000,45,0.0841,5647.883301
495,-1178.5000,45,0.0836,4227.484375
496,-1110.5000,45,0.0832,6447.228027
497,-1141.5000,45,0.0828,945.968628
498,-1090.5000,45,0.0824,3270.694580
499,-1141.5000,45,0.0820,5546.437500
500,-1121.0000,45,0.0816,2145.540527
1,-154.0000,34,0.9950,
2,-150.5000,34,0.9900,37.082806
3,-168.5000,34,0.9851,21.291399
4,-150.0000,34,0.9801,16.214516
5,-154.0000,34,0.9752,15.947163
6,-166.0000,34,0.9704,15.453810
7,-170.5000,34,0.9655,13.664248
8,-162.0000,34,0.9607,25.826435
9,-160.5000,34,0.9559,11.828745
10,-152.0000,34,0.9511,11.294794
11,-150.0000,34,0.9464,11.942450
12,-164.5000,34,0.9416,6.956237
13,-181.5000,36,0.9369,6.134536
14,-155.0000,34,0.9322,14.062407
15,-152.5000,34,0.9276,8.554214
16,-170.5000,34,0.9229,7.676031
17,-167.0000,34,0.9183,9.851789
18,-151.0000,34,0.9137,8.790817
19,-166.0000,34,0.9092,8.679541
20,-181.5000,36,0.9046,17.487211
1,-154.0000,34,0.9950,
2,-170.0000,34,0.9900,38.807991
3,-171.0000,34,0.9851,22.952515
4,-146.5000,34,0.9801,15.797091
5,-148.5000,34,0.9752,17.282627
6,-168.5000,34,0.9704,15.324092
7,-153.0000,34,0.9655,11.904087
8,-164.0000,34,0.9607,19.415850
9,-150.0000,34,0.9559,16.160934
10,-166.0000,34,0.9511,14.370909
11,-167.0000,34,0.9464,14.801193
12,-167.0000,34,0.9416,10.318007
13,-155.0000,34,0.9369,7.626367
14,-166.0000,34,0.9322,19.219746
15,-164.0000,34,0.9276,13.117262
16,-155.0000,34,0.9229,11.580020
17,-150.0000,34,0.9183,9.047066
18,-156.5000,34,0.9137,5.424557
19,-152.0000,34,0.9092,10.484901
20,-150.0000,34,0.9046,16.477448
21,-153.5000,34,0.9001,18.250618
22,-166.0000,34,0.8956,18.045454
23,-154.0000,34,0.8911,22.008949
24,-152.5000,34,0.8867,13.846488
25,-150.5000,34,0.8822,14.709015
26,-168.5000,34,0.8778,19.178009
27,-154.0000,34,0.8734,28.300695
28,-159.5000,34,0.8691,23.468624
29,-166.0000,34,0.8647,39.965836
30,-165.5000,34,0.8604,26.101286
31,-167.0000,34,0.8561,20.214483
32,-146.5000,34,0.8518,36.768410
33,-165.0000,34,0.8475,33.416527
34,-150.5000,34,0.8433,30.877275
35,-173.5000,34,0.8391,71.866554
36,-178.0000,36,0.8349,41.629425
37,-158.0000,34,0.8307,50.660007
38,-168.0000,34,0.8266,68.625854
39,-179.5000,35,0.8224,33.277271
40,-194.5000,36,0.8183,105.214279
41,-167.5000,34,0.8142,32.067249
42,-154.0000,34,0.8102,29.580441
43,-169.0000,34,0.8061,40.810066
44,-154.5000,34,0.8021,43.532425
